id,image_name,sample_group,pixel_north_east_x,pixel_north_east_y,pixel_south_west_x,pixel_south_west_y
20,3_20161010_0236,positive,12903,8611,12833,8688
21,3_20161010_0236,positive,13016,8596,12946,8673
22,3_20161010_0236,positive,12958,8598,12888,8675
23,3_20161010_0236,positive,12790,8554,12720,8631
24,3_20161010_0236,positive,12832,8512,12762,8589
25,3_20161010_0236,positive,12776,8370,12706,8447
26,3_20161010_0236,positive,12844,8390,12774,8467
27,3_20161010_0236,positive,12584,8359,12514,8436
28,3_20161010_0236,positive,13072,8304,13002,8381
29,3_20161010_0236,positive,13326,8444,13256,8521
30,3_20161010_0236,positive,12920,8171,12850,8248
31,3_20161010_0236,positive,13177,8007,13107,8084
32,3_20161010_0236,positive,13525,8215,13455,8292
33,3_20161010_0236,positive,13657,8110,13587,8187
34,3_20161010_0236,positive,13657,8110,13587,8187
35,3_20161010_0236,positive,12741,7740,12671,7817
36,3_20161010_0236,positive,12570,7768,12500,7845
37,3_20161010_0236,positive,12616,7850,12546,7927
38,3_20161010_0236,positive,12837,7572,12767,7649
39,3_20161010_0236,positive,13306,7645,13236,7722
40,3_20161010_0236,positive,13448,7525,13378,7602
41,3_20161010_0236,positive,13708,7586,13638,7663
42,3_20161010_0236,positive,12965,7427,12895,7504
43,3_20161010_0236,positive,12835,7450,12765,7527
44,3_20161010_0236,positive,12719,7549,12649,7626
45,3_20161010_0236,positive,12649,7612,12579,7689
46,3_20161010_0236,positive,12445,7613,12375,7690
47,3_20161010_0236,positive,12419,7553,12349,7630
48,3_20161010_0236,positive,12669,7404,12599,7481
49,3_20161010_0236,positive,12664,7492,12594,7569
50,3_20161010_0236,positive,12830,7367,12760,7444
51,3_20161010_0236,positive,12771,7223,12701,7300
52,3_20161010_0236,positive,12927,7298,12857,7375
53,3_20161010_0236,positive,12851,7206,12781,7283
54,3_20161010_0236,positive,12667,7137,12597,7214
55,3_20161010_0236,positive,12536,7506,12466,7583
56,3_20161010_0236,positive,12555,7180,12485,7257
57,3_20161010_0236,positive,12332,7282,12262,7359
58,3_20161010_0236,positive,11710,7363,11640,7440
59,3_20161010_0236,positive,12174,6837,12104,6914
60,3_20161010_0236,positive,12329,6704,12259,6781
61,3_20161010_0236,positive,12437,6638,12367,6715
62,3_20161010_0236,positive,12692,6649,12622,6726
63,3_20161010_0236,positive,12708,6711,12638,6788
64,3_20161010_0236,positive,12727,6885,12657,6962
65,3_20161010_0236,positive,12474,7110,12404,7187
66,3_20161010_0236,positive,12861,6789,12791,6866
67,3_20161010_0236,positive,12763,6747,12693,6824
68,3_20161010_0236,positive,13145,6789,13075,6866
69,3_20161010_0236,positive,13322,7010,13252,7087
70,3_20161010_0236,positive,12937,6811,12867,6888
71,3_20161010_0236,positive,13031,6505,12961,6582
72,3_20161010_0236,positive,13592,6653,13522,6730
73,3_20161010_0236,positive,13276,6805,13206,6882
74,3_20161010_0236,positive,13540,6852,13470,6929
75,3_20161010_0236,positive,13312,6868,13242,6945
76,3_20161010_0236,positive,13869,6993,13799,7070
77,3_20161010_0236,positive,13614,7095,13544,7172
78,3_20161010_0236,positive,13664,7057,13594,7134
79,3_20161010_0236,positive,13571,7320,13501,7397
80,3_20161010_0236,positive,13146,7189,13076,7266
81,3_20161010_0236,positive,13695,7328,13625,7405
82,3_20161010_0236,positive,13684,7240,13614,7317
83,3_20161010_0236,positive,13897,7558,13827,7635
84,3_20161010_0236,positive,14238,7383,14168,7460
85,3_20161010_0236,positive,14401,7209,14331,7286
86,3_20161010_0236,positive,14277,7132,14207,7209
87,3_20161010_0236,positive,14338,7032,14268,7109
88,3_20161010_0236,positive,14287,6939,14217,7016
89,3_20161010_0236,positive,14373,6961,14303,7038
90,3_20161010_0236,positive,13916,7056,13846,7133
91,3_20161010_0236,positive,14014,7194,13944,7271
92,3_20161010_0236,positive,14385,6748,14315,6825
93,3_20161010_0236,positive,14480,6748,14410,6825
94,3_20161010_0236,positive,14378,6661,14308,6738
95,3_20161010_0236,positive,14357,6608,14287,6685
96,3_20161010_0236,positive,14784,6776,14714,6853
97,3_20161010_0236,positive,14668,6500,14598,6577
98,3_20161010_0236,positive,14297,6484,14227,6561
99,3_20161010_0236,positive,13859,6596,13789,6673
100,3_20161010_0236,positive,13847,6751,13777,6828
101,3_20161010_0236,positive,13781,6781,13711,6858
102,3_20161010_0236,positive,13623,6556,13553,6634
103,3_20161010_0236,positive,13494,6516,13424,6594
104,3_20161010_0236,positive,13439,6315,13369,6393
105,3_20161010_0236,positive,13520,6193,13450,6271
106,3_20161010_0236,positive,13267,6406,13197,6484
107,3_20161010_0236,positive,13159,6358,13089,6436
108,3_20161010_0236,positive,13159,6194,13089,6272
109,3_20161010_0236,positive,13430,6111,13360,6189
110,3_20161010_0236,positive,13154,6049,13084,6127
111,3_20161010_0236,positive,13306,5960,13236,6038
112,3_20161010_0236,positive,13371,5886,13301,5964
113,3_20161010_0236,positive,13693,5894,13623,5972
114,3_20161010_0236,positive,13744,5920,13674,5998
115,3_20161010_0236,positive,13928,6036,13858,6114
116,3_20161010_0236,positive,13719,6101,13649,6179
117,3_20161010_0236,positive,13716,6238,13646,6316
118,3_20161010_0236,positive,13941,6160,13871,6238
119,3_20161010_0236,positive,13927,6099,13857,6177
120,3_20161010_0236,positive,14196,6122,14126,6200
121,3_20161010_0236,positive,13796,6049,13726,6127
122,3_20161010_0236,positive,14100,6408,14030,6486
123,3_20161010_0236,positive,14091,6313,14021,6391
124,3_20161010_0236,positive,13588,6481,13518,6559
125,3_20161010_0236,positive,13350,6551,13280,6629
126,3_20161010_0236,positive,13744,6299,13674,6377
127,3_20161010_0236,positive,14045,5864,13975,5942
128,3_20161010_0236,positive,13915,5739,13845,5817
129,3_20161010_0236,positive,14057,5768,13987,5846
130,3_20161010_0236,positive,13827,5767,13757,5845
131,3_20161010_0236,positive,13662,5686,13592,5764
132,3_20161010_0236,positive,13471,5805,13401,5883
133,3_20161010_0236,positive,13628,5852,13558,5930
134,3_20161010_0236,positive,13584,5813,13514,5891
135,3_20161010_0236,positive,13341,5619,13271,5697
136,3_20161010_0236,positive,13352,5558,13282,5636
137,3_20161010_0236,positive,13515,5599,13445,5677
138,3_20161010_0236,positive,13598,5587,13528,5665
139,3_20161010_0236,positive,13861,5542,13791,5620
140,3_20161010_0236,positive,13601,5460,13531,5538
141,3_20161010_0236,positive,13765,5327,13695,5406
142,3_20161010_0236,positive,13775,5511,13705,5590
143,3_20161010_0236,positive,13801,5528,13731,5607
144,3_20161010_0236,positive,14112,5417,14042,5496
145,3_20161010_0236,positive,14257,5360,14187,5439
146,3_20161010_0236,positive,13595,5389,13525,5468
147,3_20161010_0236,positive,13484,5391,13414,5470
148,3_20161010_0236,positive,13519,5322,13449,5401
149,3_20161010_0236,positive,13445,5263,13375,5342
150,3_20161010_0236,positive,13456,5164,13386,5243
151,3_20161010_0236,positive,13471,5100,13401,5179
152,3_20161010_0236,positive,13537,5099,13467,5178
153,3_20161010_0236,positive,13381,5119,13311,5198
154,3_20161010_0236,positive,13329,5097,13259,5176
155,3_20161010_0236,positive,13285,5148,13215,5227
156,3_20161010_0236,positive,13302,5200,13232,5279
157,3_20161010_0236,positive,13319,5251,13249,5330
158,3_20161010_0236,positive,13163,5321,13093,5400
159,3_20161010_0236,positive,13018,5114,12948,5193
160,3_20161010_0236,positive,12943,5080,12873,5159
161,3_20161010_0236,positive,13082,5010,13012,5089
162,3_20161010_0236,positive,13118,5075,13048,5154
163,3_20161010_0236,positive,13179,5122,13109,5201
164,3_20161010_0236,positive,13269,5005,13199,5084
165,3_20161010_0236,positive,13253,4943,13183,5022
166,3_20161010_0236,positive,13126,4942,13056,5021
167,3_20161010_0236,positive,13346,4863,13276,4942
168,3_20161010_0236,positive,13424,4810,13354,4889
169,3_20161010_0236,positive,13475,4903,13405,4982
170,3_20161010_0236,positive,13347,4915,13277,4994
171,3_20161010_0236,positive,13354,5035,13284,5114
172,3_20161010_0236,positive,13409,5043,13339,5122
173,3_20161010_0236,positive,13389,4972,13319,5051
174,3_20161010_0236,positive,13692,4824,13622,4903
175,3_20161010_0236,positive,13510,4689,13440,4768
176,3_20161010_0236,positive,13310,4689,13240,4768
177,3_20161010_0236,positive,13631,4666,13561,4745
178,3_20161010_0236,positive,13847,4820,13777,4899
179,3_20161010_0236,positive,13815,4782,13745,4861
180,3_20161010_0236,positive,13278,4733,13208,4812
181,3_20161010_0236,positive,13813,4941,13743,5020
182,3_20161010_0236,positive,14020,4931,13950,5010
183,3_20161010_0236,positive,14191,5194,14121,5273
184,3_20161010_0236,positive,14048,5236,13978,5315
185,3_20161010_0236,positive,14352,5332,14282,5411
186,3_20161010_0236,positive,14417,5067,14347,5146
187,3_20161010_0236,positive,14391,4996,14321,5075
188,3_20161010_0236,positive,14628,5033,14558,5112
189,3_20161010_0236,positive,14628,5033,14558,5112
190,3_20161010_0236,positive,14581,4972,14511,5051
191,3_20161010_0236,positive,14333,4883,14263,4962
192,3_20161010_0236,positive,14745,5265,14675,5344
193,3_20161010_0236,positive,14141,4761,14071,4840
194,3_20161010_0236,positive,14141,4761,14071,4840
195,3_20161010_0236,positive,14061,4815,13991,4894
196,3_20161010_0236,positive,14339,4745,14269,4824
197,3_20161010_0236,positive,13934,4498,13864,4577
198,3_20161010_0236,positive,13645,4718,13575,4797
199,3_20161010_0236,positive,13982,4584,13912,4663
200,3_20161010_0236,positive,13893,4662,13823,4741
201,3_20161010_0236,positive,14175,4412,14105,4491
202,3_20161010_0236,positive,14117,4387,14047,4466
203,3_20161010_0236,positive,13993,4351,13923,4430
204,3_20161010_0236,positive,13977,4310,13907,4389
205,3_20161010_0236,positive,13802,4333,13732,4412
206,3_20161010_0236,positive,13758,4302,13688,4381
207,3_20161010_0236,positive,14293,4117,14223,4196
208,3_20161010_0236,positive,14254,4166,14184,4245
209,3_20161010_0236,positive,14254,4214,14184,4293
210,3_20161010_0236,positive,14262,4265,14192,4344
211,3_20161010_0236,positive,14314,4280,14244,4359
212,3_20161010_0236,positive,14508,4384,14438,4463
213,3_20161010_0236,positive,14764,4347,14694,4426
214,3_20161010_0236,positive,14763,4411,14693,4490
215,3_20161010_0236,positive,14820,4435,14750,4514
216,3_20161010_0236,positive,14764,4466,14694,4545
217,3_20161010_0236,positive,14681,4725,14611,4804
218,3_20161010_0236,positive,14648,4649,14578,4728
219,3_20161010_0236,positive,14451,4713,14381,4792
220,3_20161010_0236,positive,14509,4783,14439,4862
221,3_20161010_0236,positive,14184,4008,14114,4087
222,3_20161010_0236,positive,14205,3962,14135,4041
223,3_20161010_0236,positive,14407,3943,14337,4022
224,3_20161010_0236,positive,14478,3860,14408,3939
225,3_20161010_0236,positive,13881,3880,13811,3959
226,3_20161010_0236,positive,13855,3817,13785,3896
227,3_20161010_0236,positive,13656,3986,13586,4065
228,3_20161010_0236,positive,13646,3914,13576,3993
229,3_20161010_0236,positive,14005,3757,13935,3836
230,3_20161010_0236,positive,14052,3687,13982,3766
231,3_20161010_0236,positive,14160,3731,14090,3810
232,3_20161010_0236,positive,14070,3736,14000,3815
233,3_20161010_0236,positive,14201,3681,14131,3760
234,3_20161010_0236,positive,14120,3590,14050,3669
235,3_20161010_0236,positive,14075,3502,14005,3581
236,3_20161010_0236,positive,13932,3544,13862,3623
237,3_20161010_0236,positive,13899,3473,13829,3552
238,3_20161010_0236,positive,13866,3619,13796,3698
239,3_20161010_0236,positive,13961,3596,13891,3675
240,3_20161010_0236,positive,13917,3626,13847,3705
241,3_20161010_0236,positive,13909,3335,13839,3414
242,3_20161010_0236,positive,14357,3537,14287,3616
243,3_20161010_0236,positive,14289,3685,14219,3764
244,3_20161010_0236,positive,14341,3701,14271,3780
245,3_20161010_0236,positive,14372,3733,14302,3812
246,3_20161010_0236,positive,14067,3821,13997,3900
247,3_20161010_0236,positive,14070,3984,14000,4063
248,3_20161010_0236,positive,14430,3540,14360,3619
249,3_20161010_0236,positive,14715,3524,14645,3603
250,3_20161010_0236,positive,14546,3546,14476,3625
251,3_20161010_0236,positive,14583,3433,14513,3512
252,3_20161010_0236,positive,14763,3322,14693,3401
253,3_20161010_0236,positive,14903,3355,14833,3434
254,3_20161010_0236,positive,14969,3292,14899,3371
255,3_20161010_0236,positive,14976,3438,14906,3517
256,3_20161010_0236,positive,15061,3433,14991,3512
257,3_20161010_0236,positive,15234,3508,15164,3587
258,3_20161010_0236,positive,15128,3457,15058,3536
259,3_20161010_0236,positive,14957,3570,14887,3649
260,3_20161010_0236,positive,15273,3803,15203,3882
261,3_20161010_0236,positive,15293,3750,15223,3829
262,3_20161010_0236,positive,15349,3682,15279,3761
263,3_20161010_0236,positive,15696,3855,15626,3934
264,3_20161010_0236,positive,15636,3830,15566,3909
265,3_20161010_0236,positive,15578,3776,15508,3855
266,3_20161010_0236,positive,15357,4005,15287,4084
267,3_20161010_0236,positive,15283,4002,15213,4081
268,3_20161010_0236,positive,15061,4032,14991,4111
269,3_20161010_0236,positive,14755,3889,14685,3968
270,3_20161010_0236,positive,15579,3922,15509,4001
271,3_20161010_0236,positive,15549,3892,15479,3971
272,3_20161010_0236,positive,15388,3611,15318,3690
